key,away,bp_away_0,bp_away_1,bp_away_10,bp_away_11,bp_away_12,bp_away_13,bp_away_14,bp_away_15,bp_away_16,bp_away_17,bp_away_2,bp_away_3,bp_away_4,bp_away_5,bp_away_6,bp_away_7,bp_away_8,bp_away_9,bp_home_0,bp_home_1,bp_home_10,bp_home_11,bp_home_12,bp_home_13,bp_home_14,bp_home_15,bp_home_16,bp_home_17,bp_home_18,bp_home_19,bp_home_2,bp_home_3,bp_home_4,bp_home_5,bp_home_6,bp_home_7,bp_home_8,bp_home_9,date,home
2018/03/29/chnmlb-miamlb-1,Chicago Cubs,605218.0,592767.0,488846.0,467008.0,458677.0,543557.0,,,,,506433.0,500779.0,453344.0,543294.0,543022.0,572750.0,452657.0,518553.0,605255.0,592761.0,594027.0,608716.0,547749.0,,,,,,,,446899.0,545363.0,606424.0,628333.0,596071.0,607457.0,570632.0,622217.0,2018-03-29,Miami Marlins
2018/03/30/pitmlb-detmlb-1,Pittsburgh Pirates,592866.0,592791.0,553878.0,519294.0,643230.0,,,,,,641771.0,595897.0,607192.0,467100.0,596720.0,593140.0,650828.0,502004.0,605242.0,571510.0,641729.0,543935.0,,,,,,,,,434538.0,596057.0,571656.0,519455.0,599683.0,572403.0,621385.0,572888.0,2018-03-30,Detroit Tigers
2018/03/29/slnmlb-nynmlb-1,St. Louis Cardinals,596133.0,502032.0,594577.0,663855.0,592815.0,,,,,,656427.0,608379.0,544928.0,608678.0,571945.0,593372.0,621199.0,446399.0,607625.0,573109.0,607229.0,461872.0,544727.0,,,,,,,,518774.0,606160.0,642008.0,460283.0,594798.0,571927.0,623149.0,592789.0,2018-03-29,New York Mets
2018/03/29/minmlb-balmlb-1,Minnesota Twins,573124.0,641755.0,435043.0,592665.0,657610.0,407845.0,,,,,502043.0,543507.0,621244.0,519151.0,458681.0,622382.0,501381.0,543606.0,502154.0,606478.0,542960.0,571710.0,542947.0,,,,,,,,641482.0,605541.0,612434.0,592332.0,501957.0,488768.0,605164.0,503285.0,2018-03-29,Baltimore Orioles
2018/03/29/houmlb-texmlb-1,Houston Astros,448609.0,450203.0,606965.0,502748.0,571704.0,,,,,,543521.0,621121.0,444468.0,543037.0,572971.0,501925.0,501789.0,434378.0,501985.0,605309.0,430935.0,600917.0,455119.0,456713.0,448178.0,,,,,,607185.0,445926.0,519043.0,622703.0,643478.0,518617.0,450729.0,592222.0,2018-03-29,Texas Rangers
2018/03/29/nyamlb-tormlb-1,New York Yankees,547888.0,592741.0,643338.0,476454.0,547973.0,,,,,,592454.0,543243.0,502085.0,656547.0,476589.0,282332.0,656756.0,622663.0,462136.0,448802.0,493200.0,461325.0,,,,,,,,,532077.0,592717.0,573186.0,572193.0,457918.0,446099.0,571901.0,592130.0,2018-03-29,Toronto Blue Jays
2018/03/29/bosmlb-tbamlb-1,Boston Red Sox,456034.0,519144.0,523260.0,605476.0,,,,,,,598271.0,592390.0,584171.0,596074.0,519393.0,518886.0,519242.0,598264.0,630023.0,475054.0,643493.0,517008.0,,,,,,,,,542882.0,607188.0,552640.0,605483.0,642232.0,489265.0,621237.0,502042.0,2018-03-29,Tampa Bay Rays
2018/03/29/anamlb-oakmlb-1,Los Angeles Angels,500724.0,572140.0,641871.0,462382.0,598287.0,,,,,,533167.0,572703.0,543542.0,453284.0,572070.0,502028.0,592135.0,501625.0,605254.0,433586.0,488748.0,433589.0,595014.0,501822.0,,,,,,,521230.0,543056.0,592811.0,641941.0,640455.0,605194.0,596043.0,608665.0,2018-03-29,Oakland Athletics
2018/03/29/milmlb-sdnmlb-1,Milwaukee Brewers,605200.0,605540.0,606930.0,,,,,,,,543118.0,468504.0,608718.0,502624.0,623352.0,458006.0,608349.0,502026.0,628318.0,606131.0,643256.0,,,,,,,,,,571951.0,572362.0,543475.0,453385.0,489446.0,657681.0,489334.0,543272.0,2018-03-29,San Diego Padres
2018/03/29/phimlb-atlmlb-1,Philadelphia Phillies,571800.0,450212.0,605388.0,591693.0,593576.0,,,,,,594902.0,622097.0,592826.0,601713.0,644364.0,605400.0,571948.0,472610.0,656794.0,435221.0,493247.0,518693.0,527055.0,,,,,,,,592314.0,594795.0,542432.0,621345.0,641438.0,527054.0,571521.0,595465.0,2018-03-29,Atlanta Braves
